Campaign,Ad Group,Keyword,Match Type,Max CPC,Final URL
UTec - Pesquisa - R100,G1 - Medico Clinica,software de gestão para médicos,Phrase,2.00,https://utecnologia.com.br/software-para-medicos
UTec - Pesquisa - R100,G1 - Medico Clinica,software médico para consultórios,Phrase,2.00,https://utecnologia.com.br/software-para-medicos
UTec - Pesquisa - R100,G1 - Medico Clinica,software para gestao de clinica medica,Phrase,2.50,https://utecnologia.com.br/sistema-para-clinica-medica
UTec - Pesquisa - R100,G1 - Medico Clinica,software de gestão médica,Phrase,3.00,https://utecnologia.com.br/software-para-medicos
UTec - Pesquisa - R100,G1 - Medico Clinica,software gestao clinica medica,Phrase,3.00,https://utecnologia.com.br/sistema-para-clinica-medica
UTec - Pesquisa - R100,G1 - Medico Clinica,sistema gestao clinica,Phrase,3.50,https://utecnologia.com.br/sistema-para-clinicas
UTec - Pesquisa - R100,G2 - Concorrente,odontoclinic sistema,Phrase,3.00,https://utecnologia.com.br/alternativa-odontoclinic
UTec - Pesquisa - R100,G2 - Concorrente,sistema shosp,Phrase,3.00,https://utecnologia.com.br/alternativa-shosp
UTec - Pesquisa - R100,G2 - Concorrente,feegow sistema,Phrase,3.50,https://utecnologia.com.br/alternativa-feegow
UTec - Pesquisa - R100,G2 - Concorrente,zenfisio sistema,Phrase,2.50,https://utecnologia.com.br/sistema-para-clinica-de-fisioterapia
UTec - Pesquisa - R100,G2 - Concorrente,clinica nas nuvens sistema,Phrase,4.00,https://utecnologia.com.br/sistema-para-clinicas
UTec - Pesquisa - R100,G3 - Especialidade,sistema para psicologo,Phrase,3.00,https://utecnologia.com.br/sistema-para-psicologos
UTec - Pesquisa - R100,G3 - Especialidade,sistemas para dentistas,Phrase,3.50,https://utecnologia.com.br/sistema-para-dentistas
UTec - Pesquisa - R100,G3 - Especialidade,software para clinica de fisioterapia,Phrase,3.00,https://utecnologia.com.br/sistema-para-clinica-de-fisioterapia
UTec - Pesquisa - R100,G3 - Especialidade,software para clinica de psicologia,Exact,3.00,https://utecnologia.com.br/sistema-para-psicologos
